BRC Query,Num Of Points
"[[(13, 16), [6, 9]]]",12
"[[(12, 15), [6, 9]]]",16
"[[(0, 3), [4, 7]]]",16
"[[(8, 11), [7, 10]]]",16
"[[(6, 9), [12, 15]]]",16
"[[(13, 16), [4, 7]]]",12
"[[(7, 10), [5, 8]]]",16
"[[(9, 12), [3, 6]]]",16
"[[(8, 11), [2, 5]]]",16
"[[(4, 7), [2, 5]]]",16
"[[(12, 15), [1, 4]]]",16
"[[(9, 12), [12, 15]]]",16
"[[(4, 7), [8, 11]]]",16
"[[(11, 14), [12, 15]]]",16
"[[(9, 12), [2, 5]]]",16
"[[(4, 7), [1, 4]]]",16
"[[(11, 14), [1, 4]]]",16
"[[(13, 16), [10, 13]]]",12
"[[(5, 8), [7, 10]]]",16
"[[(8, 11), [1, 4]]]",16
"[[(5, 8), [6, 9]]]",16
"[[(5, 8), [9, 12]]]",16
"[[(10, 13), [3, 6]]]",16
"[[(8, 11), [7, 10]]]",16
"[[(7, 10), [13, 16]]]",12
"[[(8, 11), [4, 7]]]",16
"[[(0, 3), [12, 15]]]",16
"[[(8, 11), [0, 3]]]",16
"[[(1, 4), [11, 14]]]",16
"[[(13, 16), [6, 9]]]",12
"[[(11, 14), [13, 16]]]",12
"[[(12, 15), [10, 13]]]",16
"[[(10, 13), [0, 3]]]",16
"[[(9, 12), [7, 10]]]",16
"[[(13, 16), [13, 16]]]",9
"[[(5, 8), [3, 6]]]",16
"[[(11, 14), [5, 8]]]",16
"[[(11, 14), [13, 16]]]",12
"[[(1, 4), [3, 6]]]",16
"[[(9, 12), [3, 6]]]",16
"[[(3, 6), [12, 15]]]",16
"[[(2, 5), [12, 15]]]",16
"[[(8, 11), [7, 10]]]",16
"[[(1, 4), [1, 4]]]",16
"[[(5, 8), [8, 11]]]",16
"[[(7, 10), [1, 4]]]",16
"[[(4, 7), [8, 11]]]",16
"[[(4, 7), [11, 14]]]",16
"[[(1, 4), [8, 11]]]",16
"[[(5, 8), [13, 16]]]",12
"[[(8, 11), [3, 6]]]",16
"[[(12, 15), [9, 12]]]",16
"[[(8, 11), [9, 12]]]",16
"[[(4, 7), [7, 10]]]",16
"[[(1, 4), [9, 12]]]",16
"[[(12, 15), [6, 9]]]",16
"[[(5, 8), [9, 12]]]",16
"[[(3, 6), [4, 7]]]",16
"[[(2, 5), [3, 6]]]",16
"[[(13, 16), [2, 5]]]",12
"[[(0, 3), [9, 12]]]",16
"[[(10, 13), [4, 7]]]",16
"[[(7, 10), [1, 4]]]",16
"[[(1, 4), [10, 13]]]",16
"[[(12, 15), [2, 5]]]",16
"[[(2, 5), [0, 3]]]",16
"[[(13, 16), [1, 4]]]",12
"[[(11, 14), [13, 16]]]",12
"[[(8, 11), [10, 13]]]",16
"[[(6, 9), [13, 16]]]",12
"[[(11, 14), [8, 11]]]",16
"[[(4, 7), [8, 11]]]",16
"[[(12, 15), [3, 6]]]",16
"[[(13, 16), [3, 6]]]",12
"[[(10, 13), [9, 12]]]",16
"[[(13, 16), [6, 9]]]",12
"[[(9, 12), [4, 7]]]",16
"[[(7, 10), [7, 10]]]",16
"[[(10, 13), [10, 13]]]",16
"[[(11, 14), [12, 15]]]",16
"[[(5, 8), [1, 4]]]",16
"[[(5, 8), [9, 12]]]",16
"[[(1, 4), [7, 10]]]",16
"[[(9, 12), [10, 13]]]",16
"[[(5, 8), [13, 16]]]",12
"[[(3, 6), [3, 6]]]",16
"[[(0, 3), [11, 14]]]",16
"[[(4, 7), [1, 4]]]",16
"[[(11, 14), [3, 6]]]",16
"[[(5, 8), [12, 15]]]",16
"[[(2, 5), [5, 8]]]",16
"[[(6, 9), [13, 16]]]",12
"[[(0, 3), [1, 4]]]",16
"[[(12, 15), [2, 5]]]",16
"[[(13, 16), [11, 14]]]",12
"[[(3, 6), [0, 3]]]",16
"[[(13, 16), [9, 12]]]",12
"[[(10, 13), [8, 11]]]",16
"[[(9, 12), [10, 13]]]",16
"[[(1, 4), [0, 3]]]",16
